Item Category,Material Category,Cost Price,Credit,Total Sale,gender,age,visit_frequency,satisfaction_rating,Combined Category,Sale Count,Sale Cluster
Chain & Charm,Silver,54,180.2,180.2,Female,50.0,Regular,4.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,32,100.0,100.0,Male,22.0,Regular,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,22,106.0,106.0,Male,54.0,Occasional,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,35,159.0,159.0,Male,50.0,Regular,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,150.0,150.0,Female,22.0,Regular,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,170.0,170.0,Male,56.0,Occasional,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,26,125.0,125.0,Others,64.0,Regular,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,28,159.0,159.0,Male,35.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,17,80.0,80.0,Male,41.0,Regular,4.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,80,402.8,402.8,Female,53.0,Occasional,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40,20.0,20.0,Female,49.0,Occasional,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,11.2,69.0,69.0,Others,19.0,Occasional,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,150.0,150.0,Male,57.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,185.0,185.0,Female,28.0,Regular,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,140.0,140.0,Female,58.0,Regular,4.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,30.0,30.0,Male,48.0,Occasional,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,95.4,95.4,Female,53.0,Regular,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,34,106.0,106.0,Female,52.0,Regular,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,32,137.8,137.8,Male,47.0,Occasional,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,26,106.0,106.0,Male,50.0,Occasional,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,15,20.0,20.0,Male,63.0,Occasional,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,24,143.1,143.1,Female,54.0,Occasional,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,35,185.5,185.5,Others,53.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,45,106.0,106.0,Female,53.0,Regular,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10,50.0,50.0,Male,53.0,Regular,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,106.0,106.0,Female,43.0,Rare,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,80,180.0,180.0,Female,51.0,Regular,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,115.54,115.54,Male,30.0,Regular,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,28,20.0,20.0,Male,27.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,79.5,79.5,Female,28.0,Occasional,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40,165.0,165.0,Female,57.0,Regular,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,180.0,180.0,Female,50.0,Regular,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,60,211.99,211.99,Female,63.0,Regular,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,21,80.0,80.0,Male,23.0,Regular,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,26,116.59,116.59,Others,60.0,Regular,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,106.0,106.0,Male,20.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40,106.0,106.0,Female,30.0,Regular,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,75.0,75.0,Others,34.0,Regular,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,90,25.0,25.0,Female,46.0,Regular,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40,150.0,150.0,Male,57.0,Occasional,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,55,135.59,135.59,Others,27.0,Regular,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,85.0,85.0,Female,48.0,Regular,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,168.54,168.54,Male,26.0,Regular,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,38,95.39,95.39,Female,30.0,Rare,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,52,157.94,157.94,Male,39.0,Regular,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,140.0,140.0,Female,21.0,Occasional,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,38,150.0,150.0,Male,44.0,Regular,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,42,196.1,196.1,Male,64.0,Rare,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,44,212.0,212.0,Male,38.0,Regular,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,16,75.0,75.0,Female,36.0,Regular,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,12,90.1,90.1,Female,62.0,Rare,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,200.0,200.0,Female,41.0,Occasional,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,179.01,179.01,Male,47.0,Regular,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,54,148.4,148.4,Female,40.0,Regular,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,35,189.74,189.74,Male,29.0,Occasional,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,16,160.0,160.0,Male,32.0,Regular,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,400.5,400.5,Female,56.0,Rare,4.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,14.5,55.0,55.0,Male,67.0,Regular,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,120.0,120.0,Female,35.0,Occasional,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,95,265.0,265.0,Female,46.0,Regular,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,29,136.74,136.74,Male,31.0,Regular,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,106.0,106.0,Female,60.0,Regular,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,19,84.8,84.8,Female,55.0,Regular,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,45,120.0,120.0,Others,34.0,Occasional,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,19,74.2,74.2,Male,64.0,Occasional,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,29.6,158.0,158.0,Male,34.0,Regular,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,15,85.0,85.0,Female,25.0,Regular,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,27.6,100.0,100.0,Female,67.0,Regular,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,35,105.99,105.99,Male,48.0,Regular,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,22,90.1,90.1,Male,34.0,Regular,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,129,318.0,318.0,Male,26.0,Occasional,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,16,40.0,40.0,Others,31.0,Regular,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,27,25.0,25.0,Female,19.0,Regular,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,38,100.0,100.0,Female,59.0,Regular,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,45,190.8,190.8,Female,22.0,Regular,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,195.4,195.4,Male,66.0,Occasional,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,18,95.4,95.4,Female,28.0,Occasional,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,29,94.54,94.54,Female,32.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,28,90.1,90.1,Male,41.0,Rare,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,11,98.39,98.39,Male,24.0,Regular,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,22,97.0,97.0,Female,38.0,Regular,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,193.79,193.79,Male,64.0,Regular,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,46,140.0,140.0,Male,53.0,Occasional,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,109.0,109.0,Male,54.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,28,99.99,99.99,Male,69.0,Occasional,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,15,74.0,74.0,Male,54.0,Rare,4.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,55,148.0,148.0,Female,33.0,Regular,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,15,53.0,53.0,Male,27.0,Occasional,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,22,106.0,106.0,Male,49.0,Regular,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,32,115.54,115.54,Male,62.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,16,68.9,68.9,Female,25.0,Regular,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,137.8,137.8,Male,69.0,Regular,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10,95.0,95.0,Male,56.0,Occasional,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10,69.0,69.0,Female,31.0,Rare,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,24,116.6,116.6,Male,24.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,58.3,58.3,Female,57.0,Regular,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,75.0,75.0,Female,26.0,Rare,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30.6,110.0,110.0,Female,62.0,Regular,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,5,58.3,58.3,Male,38.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,18,65.0,65.0,Female,34.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,6,47.0,47.0,Female,28.0,Occasional,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,18,74.2,74.2,Female,22.0,Occasional,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,15,70.0,70.0,Male,31.0,Occasional,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,159.0,159.0,Male,59.0,Regular,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10,68.9,68.9,Male,56.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,100,200.0,200.0,Male,69.0,Occasional,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,238.5,238.5,Female,50.0,Occasional,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,168.54,168.54,Female,35.0,Regular,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,35,115.12,115.12,Others,18.0,Regular,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,65,212.0,212.0,Male,57.0,Occasional,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,80,424.0,424.0,Female,19.0,Rare,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,74.2,74.2,Male,65.0,Occasional,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,16,90.1,90.1,Male,19.0,Regular,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,26,95.4,95.4,Female,30.0,Regular,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,79.5,79.5,Female,39.0,Regular,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,105.99,105.99,Male,25.0,Occasional,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,100,350.0,350.0,Female,45.0,Regular,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,48,212.0,212.0,Male,58.0,Regular,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,19,94.34,94.34,Female,31.0,Regular,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,18,55.0,55.0,Male,20.0,Occasional,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,17,79.0,79.0,Female,21.0,Regular,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30,121.9,121.9,Male,56.0,Occasional,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,14,95.39,95.39,Female,58.0,Occasional,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,132.5,132.5,Female,55.0,Regular,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,26,106.0,106.0,Female,68.0,Regular,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,45,158.47,158.47,Male,33.0,Occasional,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,32,160.4,160.4,Male,29.0,Occasional,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,32,115.54,115.54,Female,24.0,Regular,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,19,106.0,106.0,Female,64.0,Occasional,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25,84.8,84.8,Female,38.0,Regular,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10,31.8,31.8,Female,36.0,Regular,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40,164.3,164.3,Female,64.0,Regular,4.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20,128.26,128.26,Female,29.0,Regular,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,17,115.54,115.54,Female,51.0,Regular,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,17.0,10.0,10.0,Male,24.0,Regular,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,53.0,53.0,Female,52.0,Rare,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,27.0,100.0,100.0,Male,60.0,Occasional,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,107.0,107.0,Male,63.0,Regular,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,32.75,95.4,95.4,Female,57.0,Regular,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,26.0,130.0,130.0,Male,52.0,Regular,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,12.0,10.0,10.0,Male,59.0,Regular,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,12.0,10.0,10.0,Male,47.0,Regular,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,79.5,79.5,Others,54.0,Regular,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10.0,63.6,63.6,Male,42.0,Occasional,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40.0,200.0,200.0,Female,61.0,Regular,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,50.0,50.0,Female,69.0,Occasional,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,35.0,100.0,100.0,Female,50.0,Regular,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,74.0,74.0,Male,42.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10.0,27.0,27.0,Female,48.0,Regular,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,41.6,168.54,168.54,Female,31.0,Occasional,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40.0,159.0,159.0,Female,27.0,Regular,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,57.8,106.0,106.0,Male,40.0,Rare,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30.0,100.0,100.0,Female,53.0,Regular,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,6.0,21.0,21.0,Male,57.0,Occasional,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,15.0,45.0,45.0,Female,48.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,16.0,95.0,95.0,Male,30.0,Occasional,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,24.0,110.0,110.0,Male,43.0,Regular,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,94.34,94.34,Female,57.0,Occasional,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25.0,95.0,95.0,Female,18.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,70.0,70.0,Male,30.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30.0,100.0,100.0,Female,38.0,Occasional,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10.0,100.0,100.0,Female,21.0,Regular,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10.0,94.3,94.3,Male,46.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50.0,180.0,180.0,Female,47.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,8.0,79.5,79.5,Others,58.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,8.0,75.0,75.0,Male,58.0,Occasional,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,35.0,148.4,148.4,Female,56.0,Regular,4.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,25.0,150.0,150.0,Female,35.0,Occasional,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30.0,150.0,150.0,Female,48.0,Regular,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10.0,50.0,50.0,Female,23.0,Occasional,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,26.0,100.0,100.0,Female,36.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,12.0,62.54,62.54,Female,39.0,Rare,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50.0,200.0,200.0,Female,44.0,Occasional,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50.0,200.34,200.34,Female,45.0,Regular,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10.0,76.0,76.0,Female,30.0,Occasional,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,22.6,100.0,100.0,Others,45.0,Rare,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10.0,79.5,79.5,Male,45.0,Regular,4.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,29.0,80.0,80.0,Male,22.0,Occasional,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,44.0,153.0,153.0,Male,54.0,Occasional,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,8.0,47.7,47.7,Male,51.0,Occasional,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,16.0,100.0,100.0,Male,67.0,Regular,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,79.0,79.0,Female,28.0,Regular,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,26.25,84.8,84.8,Female,24.0,Regular,3.4,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,27.0,330.0,330.0,Female,31.0,Occasional,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,110.0,200.0,200.0,Female,51.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30.0,20.0,20.0,Male,68.0,Occasional,3.5,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10.0,74.19,74.19,Others,39.0,Occasional,3.8,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,91.0,185.0,185.0,Male,67.0,Occasional,3.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40.0,105.0,105.0,Female,59.0,Occasional,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,16.0,191.04,191.04,Female,29.0,Regular,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,200.0,200.0,Male,47.0,Rare,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40.0,25.0,25.0,Others,33.0,Regular,3.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,182.0,182.0,Female,18.0,Regular,4.2,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,80.0,180.0,180.0,Male,19.0,Regular,3.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,0.0,200.0,200.0,Male,35.0,Regular,4.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,230.0,230.0,Female,39.0,Rare,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,100.7,100.7,Female,56.0,Regular,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,30.0,100.0,100.0,Male,51.0,Regular,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,40.0,120.0,120.0,Male,40.0,Occasional,5.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,10.0,37.1,37.1,Female,57.0,Rare,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,21.0,120.0,120.0,Female,43.0,Regular,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,8.0,68.9,68.9,Female,23.0,Regular,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,51.0,450.0,450.0,Female,70.0,Regular,4.9,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,50,157.94,157.94,Female,37.0,Regular,4.0,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,39.6,38.0,38.0,Female,56.0,Regular,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,31.32,105.0,105.0,Male,43.0,Occasional,3.6,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,132.5,132.5,Female,69.0,Occasional,4.3,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,29.0,185.5,185.5,Male,50.0,Regular,4.7,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,75.0,233.2,233.2,Male,57.0,Occasional,4.1,Chain & Charm - Silver,967,Most Selling
Chain & Charm,Silver,20.0,196.0,196.0,Male,61.0,Occasional,3.9,Chain & Charm - Silver,967,Most Selling
