Date,Description,Item Category,Material Category,Cost Price,Cash,Credit,Total Sale,gender,age,visit_frequency,satisfaction_rating
"Saturday, February 2, 2019",steel chain and charm,Chain and Charm,FJ,7,,42.4,42.4,Male,66.0,Occasional,4.7
"Saturday, February 2, 2019",10k gold chain,Chain,10k Gold,99,,212,212,Male,54.0,Occasional,3.7
"Saturday, February 2, 2019",14k stud,Earring,14K Gold,7,53,,53,Male,59.0,Regular,3.6
"Saturday, February 2, 2019",st.steel chain,Chain,FJ,5,35,,35,Female,49.0,Regular,4.5
"Saturday, February 2, 2019",silver charm,Charm,Silver,10,50,,50,Female,67.0,Regular,4.1
"Saturday, February 2, 2019",10k gold charm,Charm,10k Gold,55,,125,125,Female,53.0,Occasional,3.3
"Saturday, February 2, 2019",14k gold chain pick up,Chain,14K Gold,0,200,,200,Others,18.0,Occasional,3.8
"Saturday, February 2, 2019",10k gold hoop on layaway,Earring,10k Gold,48,55,,55,Male,50.0,Occasional,3.5
"Saturday, February 2, 2019",silver pendant,Pendant,Silver,10,,53.1,53.1,Male,34.0,Regular,4.9
"Saturday, February 2, 2019",silver ring,Ring,Silver,23,,90,90,Female,70.0,Regular,4.2
"Saturday, February 2, 2019",silver tennis necklace,Chain,Silver,47,100,,100,Male,27.0,Occasional,4.1
"Sunday, February 3, 2019",st.st chain and charm,Chain and Charm,FJ,10,,58.3,58.3,Female,31.0,Regular,4.1
"Sunday, February 3, 2019",chain exchange,Chain,Silver,8,16,,16,Female,69.0,Regular,3.6
"Sunday, February 3, 2019",silver hoops,Earring,Silver,18,,68.9,68.9,Female,23.0,Occasional,4.4
"Sunday, February 3, 2019",silver stud,Earring,Silver,8,,47.7,47.7,Female,65.0,Regular,4.7
"Sunday, February 3, 2019",silver stud,Earring,Silver,2,20,,20,Others,19.0,Occasional,4.9
"Sunday, February 3, 2019",silver pendant,Pendant,Silver,10,,45,45,Male,38.0,Regular,3.6
"Sunday, February 3, 2019",10k gold cross,Charm,10k Gold,70,120,,120,Male,56.0,Occasional,4.7
"Sunday, February 3, 2019",10k hoop exchange,Earring,10k Gold,52,,94.34,94.34,Male,20.0,Occasional,3.6
"Sunday, February 3, 2019",silver stud,Earring,Silver,2,,31.79,31.79,Female,60.0,Regular,4.6
"Monday, February 4, 2019",10k gold chain rope,Chain,10k Gold,77,,150,150,Others,70.0,Regular,3.9
"Monday, February 4, 2019",silver stud,Earring,Silver,6,40,,40,Others,45.0,Regular,4.0
"Monday, February 4, 2019",silver chain and charm,Chain and Charm,Silver,36,,212,212,Male,59.0,Regular,4.4
"Monday, February 4, 2019",silver pendant,Pendant,Silver,10,50,,50,Others,48.0,Regular,4.0
"Monday, February 4, 2019",silver chain and charm,Chain and Charm,Silver,36,,95.39,95.39,Male,39.0,Regular,3.9
"Monday, February 4, 2019",silver ring,Ring,Silver,19,,100.7,100.7,Male,53.0,Occasional,3.8
"Monday, February 4, 2019",14k gold chain and charm,Chain and Charm,14K Gold,214,400,,400,Male,43.0,Occasional,3.4
"Monday, February 4, 2019",silver pendant,Pendant,Silver,7,40,,40,Female,67.0,Regular,4.7
"Monday, February 4, 2019",10k gold chain,Chain,10k Gold,242,,477,477,Female,34.0,Regular,4.6
"Tuesday, February 5, 2019","Custom grillz silver, Malik 410 921 3425",Custom Fronts,Custom,20,79,,79,Female,62.0,Regular,4.7
"Tuesday, February 5, 2019",silver stud,Earring,Silver,2,30,,30,Female,66.0,Regular,4.1
"Wednesday, February 6, 2019",St.st ball chain only,Chain,FJ,5,10,,10,Others,23.0,Rare,4.4
"Wednesday, February 6, 2019",Invicta mens watch,Watch,Branded,100,,212,212,Others,37.0,Regular,4.0
"Wednesday, February 6, 2019",10k gold chain only,Chain,10k Gold,99,,212,212,Male,32.0,Regular,4.6
"Thursday, February 7, 2019",10k Gold hoops,Hoops,10k Gold,24,78,,78,Female,58.0,Regular,4.9
"Thursday, February 7, 2019",Silver ring,Ring,Silver,19,,85,85,Male,65.0,Occasional,4.0
"Thursday, February 7, 2019",St st band,Ring,FJ,5,,30.54,30.54,Female,51.0,Occasional,3.6
"Friday, February 8, 2019",layaway pick up,Chain and Charm,Silver,0,120,27,147,Female,46.0,Regular,4.4
"Friday, February 8, 2019",silver stud,Earring,Silver,2,25,,25,Female,48.0,Regular,4.1
"Friday, February 8, 2019",st.st ring,Ring,FJ,5,,21.2,21.2,Female,21.0,Regular,4.5
"Friday, February 8, 2019",repiars,Custom Repairs,Generic,0,25,,25,Female,49.0,Regular,3.9
"Friday, February 8, 2019",10k gold chain and charm,Chain and Charm,10k Gold,162,,286,286,Male,63.0,Rare,4.0
"Friday, February 8, 2019",layaway pick up,Watch,Branded,0,,135,135,Male,58.0,Regular,4.0
"Friday, February 8, 2019",tungstung band,Ring,FJ,18,,79.5,79.5,Female,32.0,Occasional,4.8
"Friday, February 8, 2019",silver bracelet,Bracelet,Silver,20,,100,100,Female,56.0,Occasional,3.9
"Friday, February 8, 2019",silver stud,Earring,Silver,2,,19.6,19.6,Male,63.0,Occasional,4.7
"Friday, February 8, 2019",Fj chain,Chain,FJ,10,,50,50,Female,34.0,Regular,4.7
"Saturday, February 9, 2019",fronts pickup,Custom Fronts,Custom,0,92,,92,Male,54.0,Regular,4.4
"Saturday, February 9, 2019",Robert custom fronts 4434400486,Custom Fronts,Custom,74,,180.2,180.2,Male,37.0,Regular,3.3
"Saturday, February 9, 2019",Silver thick chain franco,Chain,Silver,40,80,,80,Female,23.0,Occasional,3.6
"Saturday, February 9, 2019",St.st bracelet,Bracelet,FJ,8,78,,78,Male,42.0,Rare,3.3
"Saturday, February 9, 2019",Fj chain and charm,Chain and Charm,FJ,8,,90,90,Male,37.0,Regular,3.3
"Saturday, February 9, 2019",silver stud,Earring,Silver,2,,36.14,36.14,Male,55.0,Regular,4.0
"Saturday, February 9, 2019",silver pendant,Pendant,Silver,10,,95.39,95.39,Male,59.0,Regular,4.6
"Saturday, February 9, 2019",silver hoops,Hoops,Silver,12,53,,53,Male,46.0,Regular,3.6
"Saturday, February 9, 2019",silver chain and charm,Chain and Charm,Silver,40,,111.3,111.3,Male,67.0,Occasional,4.9
"Saturday, February 9, 2019",Fj chain and charm,Chain and Charm,FJ,10,159,,159,Female,18.0,Regular,4.5
"Saturday, February 9, 2019",st.st chain only,Chain,FJ,7,,53,53,Female,38.0,Occasional,4.3
"Saturday, February 9, 2019",st.steel band,Ring,FJ,5,,80,80,Male,60.0,Regular,4.1
"Saturday, February 9, 2019",silver ring,Ring,Silver,18,,120.34,120.34,Female,70.0,Rare,4.3
"Saturday, February 9, 2019",6 gold over silver fronts and 4 gold/silver,Custom Fronts,Custom,126,,284.08,284.08,Male,51.0,Occasional,3.9
"Saturday, February 9, 2019",Silver box chain,Chain,Silver,6,44.52,,44.52,Female,38.0,Occasional,4.8
"Saturday, February 9, 2019",10k gold bracelet,Bracelet,10k Gold,213,,423.99,423.99,Female,55.0,Occasional,4.4
"Saturday, February 9, 2019",Silver pendant,Pendant,Silver,10,,63.6,63.6,Female,51.0,Regular,3.6
"Saturday, February 9, 2019",10k gold hoops,Hoops,10k Gold,40,,104.94,104.94,Female,18.0,Regular,3.6
"Saturday, February 9, 2019",Repiars,Custom Repairs,Generic,0,,15,15,Male,45.0,Regular,3.3
"Saturday, February 9, 2019",custo grillz 10k gold Anthony 4109173282,Custom Fronts,Custom,110,,190.8,190.8,Female,53.0,Regular,4.1
"Sunday, February 10, 2019",Steel chain only,Chain,FJ,15,,89.57,89.57,Female,70.0,Regular,3.9
"Sunday, February 10, 2019",10k gold fronts 4 and 4,Custom Fronts,Custom,216,37,351,388,Others,38.0,Regular,3.9
"Sunday, February 10, 2019",silver pendant,Pendant,Silver,10,,68.9,68.9,Male,63.0,Regular,4.3
"Sunday, February 10, 2019",10k gold chain and charm,Chain and Charm,10k Gold,75,40,119,159,Female,40.0,Regular,3.4
"Sunday, February 10, 2019",10k gold chain and charm on layaway,Chain and Charm,10k Gold,100,20,,20,Female,48.0,Occasional,4.8
"Sunday, February 10, 2019",Torrel silver fronts,Custom Fronts,Custom,74,,90,90,Male,23.0,Regular,3.9
"Sunday, February 10, 2019",silver chain and charmx2,Chain and Charm,Silver,70,20,192,212,Female,20.0,Regular,3.3
"Sunday, February 10, 2019",Repair,Custom Repairs,Generic,0,,12,12,Female,64.0,Regular,3.9
"Monday, February 11, 2019",10k gold chain and charm,Chain and Charm,10k Gold,114,,242.74,242.74,Male,45.0,Occasional,3.8
"Monday, February 11, 2019",silver ring,Ring,Silver,18,,115,115,Female,40.0,Rare,4.0
"Monday, February 11, 2019",10k gold charm,Charm,10k Gold,103,200,,200,Male,33.0,Occasional,3.3
"Monday, February 11, 2019",10k gold box chain,Chain,10k Gold,26,100,,100,Male,31.0,Regular,4.0
"Monday, February 11, 2019",14k charm,Charm,14K Gold,40,100,,100,Male,40.0,Regular,4.0
"Monday, February 11, 2019",Micheal kors watch,Watch,Branded,177,250,,250,Male,65.0,Regular,4.9
"Monday, February 11, 2019",Silver stud,Earring,Silver,2,22,,22,Male,29.0,Regular,4.3
"Monday, February 11, 2019",silver hoops with name,Hoops,Silver,18,,100,100,Male,44.0,Occasional,3.4
"Monday, February 11, 2019",Nose ring,Earring,Silver,0.5,,23,23,Others,60.0,Regular,4.1
"Monday, February 11, 2019",Silver bracelet,Bracelet,Silver,19,,95.4,95.4,Male,26.0,Regular,4.1
"Tuesday, February 12, 2019",St.St chain and charm,Chain and Charm,FJ,8,50,,50,Male,54.0,Regular,4.0
"Tuesday, February 12, 2019",Steel bracelet,Bracelet,FJ,8,50,,50,Female,46.0,Regular,4.2
"Tuesday, February 12, 2019",Silver ring,Ring,Silver,16,85,,85,Male,55.0,Occasional,3.4
"Tuesday, February 12, 2019",10k stud,Earring,10k Gold,25,50,,50,Male,69.0,Regular,3.8
"Tuesday, February 12, 2019",Repiar,Custom Repairs,Generic,0,10,,10,Male,43.0,Regular,4.3
"Tuesday, February 12, 2019",silver chain and charm,Chain and Charm,Silver,50,150,,150,Female,32.0,Regular,3.3
"Tuesday, February 12, 2019",10k gold chain and charm,Chain and Charm,10k Gold,100,228,,228,Male,20.0,Regular,3.5
"Wednesday, February 13, 2019",Silver pendant,Pendant,Silver,10,,68.9,68.9,Female,37.0,Rare,3.5
"Wednesday, February 13, 2019",14k stud,Earring,14K Gold,7,58,,58,Male,33.0,Rare,4.5
"Wednesday, February 13, 2019",silver stud,Earring,Silver,6,,47.7,47.7,Male,48.0,Regular,4.6
"Wednesday, February 13, 2019",10k gold hoops tiny one,Hoops,10k Gold,25,,76.32,76.32,Male,70.0,Occasional,3.9
"Wednesday, February 13, 2019",silver stud,Earring,Silver,10,,52.4,52.4,Male,28.0,Regular,3.6
"Wednesday, February 13, 2019",14k charm,Charm,14K Gold,30,84,,84,Male,28.0,Occasional,4.6
"Wednesday, February 13, 2019",10k chain,Chain,10k Gold,26,84,,84,Others,24.0,Occasional,3.9
"Wednesday, February 13, 2019",silver tennis necklace (exchange(67-15),Chain,Silver,52,,212,212,Female,39.0,Occasional,4.2
"Wednesday, February 13, 2019",silver chain,Chain,Silver,4,,47.7,47.7,Male,63.0,Rare,4.3
"Wednesday, February 13, 2019",Repiars,Custom Repairs,Generic,0,10,,10,Male,30.0,Regular,3.4
"Wednesday, February 13, 2019",Steel chain only,Chain,FJ,5,40,,40,Female,54.0,Regular,4.5
"Wednesday, February 13, 2019",silver charm,Charm,Silver,15,85,,85,Male,40.0,Regular,4.5
"Wednesday, February 13, 2019",silver ring,Ring,Silver,16,,80,80,Male,60.0,Occasional,4.8
"Thursday, February 14, 2019",St.st Ring,Ring,FJ,10,,65,65,Female,50.0,Rare,3.7
"Thursday, February 14, 2019",Fj chain bling one,Chain,FJ,10,,65,65,Others,20.0,Rare,4.5
"Thursday, February 14, 2019",Elgin female watch,Watch,FJ,15,,150,150,Female,68.0,Occasional,4.8
"Thursday, February 14, 2019",Silver/dia pendant,Pendant,Silver and Diamond,23,,106,106,Male,42.0,Regular,3.8
"Thursday, February 14, 2019",Silver ring,Ring,Silver,16,,70,70,Female,58.0,Regular,3.7
"Thursday, February 14, 2019",FJ Ring,Ring,FJ,10,,55,55,Others,48.0,Rare,4.5
"Thursday, February 14, 2019",Silver stud,Earring,Silver,5,63,,63,Male,58.0,Regular,4.4
"Thursday, February 14, 2019",Bling necklace,Chain,FJ,10,,100,100,Female,25.0,Regular,4.4
"Thursday, February 14, 2019",Silver stud,Earring,Silver,2,,37.8,37.8,Male,44.0,Regular,4.5
"Thursday, February 14, 2019",14k stud,Earring,14K Gold,9,63,,63,Others,54.0,Occasional,3.4
"Thursday, February 14, 2019",Silver ring,Ring,Silver,19,,106,106,Male,33.0,Regular,3.4
"Thursday, February 14, 2019",silver stud,Earring,Silver,2,,30,30,Female,33.0,Regular,4.7
"Thursday, February 14, 2019",lay away pick up,Chain and Charm,Silver,0,,64,64,Female,51.0,Occasional,4.2
"Thursday, February 14, 2019",Silver chain and charm,Chain,Silver,25,,127.2,127.2,Female,27.0,Occasional,4.4
"Thursday, February 14, 2019",silver ring,Ring,Silver,16,,84.8,84.8,Others,52.0,Regular,3.4
"Friday, February 15, 2019",Silver silver Ring,Ring,Silver,28,,93.4,93.4,Male,50.0,Occasional,4.9
"Friday, February 15, 2019",Fj chain and charm,Chain and Charm,FJ,18,,55,55,Male,22.0,Regular,3.6
"Friday, February 15, 2019",Silver pendant,Pendant,Silver,10,47,,47,Others,67.0,Rare,4.9
"Friday, February 15, 2019",Repiars,Custom Repairs,Generic,0,,45,45,Female,25.0,Regular,4.7
"Friday, February 15, 2019",silver charm,Charm,Silver,9,,40,40,Others,33.0,Regular,3.7
"Saturday, February 16, 2019",St.st chain and charm,Chain and Charm,FJ,7,79,,79,Male,44.0,Rare,4.4
"Saturday, February 16, 2019",steel bracelet,Bracelet,FJ,15,,100,100,Female,55.0,Regular,4.0
"Saturday, February 16, 2019",Steel bracelet,Bracelet,FJ,10,,60,60,Female,60.0,Occasional,4.7
"Saturday, February 16, 2019",Silver Ring,Ring,Silver,17,,127.2,127.2,Female,49.0,Occasional,5.0
"Saturday, February 16, 2019",10k gold fronts 6 tops,Custom Fronts,Custom,162,,300,300,Others,40.0,Regular,3.7
"Saturday, February 16, 2019",Tungstung band,Ring,FJ,10,,63.59,63.59,Female,25.0,Occasional,3.7
"Saturday, February 16, 2019",lay away pickup,Ring,Silver,0,,162,162,Female,57.0,Regular,4.8
"Saturday, February 16, 2019",10k gold chain and charm,Chain and Charm,10k Gold,60,,158.99,158.99,Female,27.0,Regular,4.0
"Saturday, February 16, 2019",layaway pickup,Hoops,10k Gold,0,100,,100,Others,27.0,Regular,4.5
"Saturday, February 16, 2019",10k gold chain and charm lay away,Chain and Charm,10k Gold,235,94,,94,Male,62.0,Regular,4.2
"Saturday, February 16, 2019",teeth pickup,Custom Fronts,Custom,0,90,,90,Male,48.0,Occasional,3.9
"Saturday, February 16, 2019",14k charm,Charm,14K Gold,,,279.5,279.5,Male,26.0,Occasional,3.8
"Saturday, February 16, 2019",10k chain,Chain,10k Gold,,,279.5,279.5,Male,26.0,Regular,5.0
"Saturday, February 16, 2019",pic dog tag,Custom Dog Tag,Custom,30,42,,42,Male,54.0,Regular,4.2
"Saturday, February 16, 2019",Fj chain and charm,Chain and Charm,FJ,7,,52.99,52.99,Female,25.0,Occasional,4.0
"Saturday, February 16, 2019",St.st chain only,Chain,FJ,5,,26.5,26.5,Male,51.0,Regular,3.4
"Saturday, February 16, 2019",St.st chain only,Chain,FJ,7,,52.99,52.99,Female,50.0,Regular,3.9
"Saturday, February 16, 2019",Silver stud,Earring,Silver,4,20,,20,Male,23.0,Occasional,4.4
"Saturday, February 16, 2019",10k fronts *4 teeth,Custom Fronts,Custom,134,232,,232,Female,66.0,Regular,3.6
"Saturday, February 16, 2019",repiars,Custom Repairs,Generic,10,15,,15,Male,22.0,Regular,4.4
"Saturday, February 16, 2019",10k gold hoops,Hoops,10k Gold,,,60,60,Female,31.0,Occasional,4.8
"Sunday, February 17, 2019",Silver chain and charm,Chain and Charm,Silver,30,160,,160,Female,38.0,Occasional,4.8
"Sunday, February 17, 2019",10k baby bracelet,Bracelet,10k Gold,40,,90,90,Others,50.0,Regular,4.5
"Sunday, February 17, 2019",10k gold charm,Charm,10k Gold,70,,157.94,157.94,Male,40.0,Rare,3.7
"Sunday, February 17, 2019",14k stud,Earring,14K Gold,7,,73.14,73.14,Female,57.0,Occasional,4.3
"Sunday, February 17, 2019",St.St Ring,Ring,FJ,5,,37.1,37.1,Male,32.0,Occasional,4.6
"Sunday, February 17, 2019",dogtag pick up,Custom Dog Tag,Custom,0,42,,42,Female,22.0,Regular,4.4
"Sunday, February 17, 2019",silver chain and charm,Chain and Charm,Silver,25,,132.5,132.5,Male,36.0,Regular,5.0
"Sunday, February 17, 2019","citizen watches x 3(350,325,399)",Watch,Branded,321,,500,500,Female,68.0,Regular,4.3
"Sunday, February 17, 2019",Silver hoops,Hoops,Silver,12,,80,80,Female,61.0,Occasional,3.4
"Monday, February 18, 2019",Ring cleaning,Custom Repairs,Generic,0,,10.6,10.6,Female,68.0,Regular,4.7
"Monday, February 18, 2019",10k Gold hoops,Hoops,10k Gold,46,,137.8,137.8,Male,43.0,Occasional,3.5
"Monday, February 18, 2019",St.St chain and charm,Chain and Charm,FJ,8,62,,62,Male,35.0,Regular,4.7
"Monday, February 18, 2019",Silver ball earrings,Earring,Silver,7,40,,40,Female,50.0,Occasional,5.0
"Monday, February 18, 2019",Ring repair,Custom Repairs,Generic,60,,135,135,Male,37.0,Rare,4.0
"Monday, February 18, 2019",St.St chain and charm,Chain and Charm,FJ,7,62,,62,Male,46.0,Occasional,3.5
"Monday, February 18, 2019",Invicta mens watch,Watch,Branded,199,,300,300,Female,69.0,Occasional,3.6
"Monday, February 18, 2019",Fj chain and charm,Chain and Charm,FJ,7,,92.19,92.19,Female,52.0,Occasional,4.7
"Tuesday, February 19, 2019",Silver ring,Ring,Silver,48,291,,291,Female,65.0,Occasional,4.1
"Tuesday, February 19, 2019",fj stud,Earring,FJ,2,20,,20,Female,29.0,Occasional,3.7
"Tuesday, February 19, 2019",fj stud,Earring,FJ,2,25,,25,Female,20.0,Occasional,3.7
"Tuesday, February 19, 2019",Ring repiar,Custom Repairs,Generic,0,50,,50,Others,28.0,Regular,3.4
"Tuesday, February 19, 2019",fJ ring,Ring,FJ,7,,76.82,76.82,Male,70.0,Regular,4.6
"Tuesday, February 19, 2019",Fj ring,Ring,FJ,7,,76.85,76.85,Male,62.0,Occasional,4.1
"Tuesday, February 19, 2019",14k Gold charm,Charm,14K Gold,49,,110,110,Female,33.0,Regular,4.2
"Wednesday, February 20, 2019",Snow day /nosale,,,0,0,0,0,Others,62.0,Rare,5.0
"Thursday, February 21, 2019",Custom fronts 4 10k gols 2 extras Odess,Custom Fronts,Custom,148,280,,280,Male,22.0,Regular,4.5
"Thursday, February 21, 2019",Taiwanda10k 5 gold bottoms,Custom Fronts,Custom,135,,240,240,Male,33.0,Rare,4.6
"Thursday, February 21, 2019",FJ band,Ring,FJ,5,,26.5,26.5,Female,53.0,Regular,4.4
"Thursday, February 21, 2019",Silver pendant,Pendant,Silver,10,,79.5,79.5,Male,19.0,Regular,4.4
"Thursday, February 21, 2019",Repiars,Custom Repairs,Generic,0,,10,10,Others,18.0,Rare,4.1
"Thursday, February 21, 2019",Silver smal chain only,Chain,Silver,5,,26.5,26.5,Female,35.0,Occasional,4.0
"Friday, February 22, 2019",Lay away payment,Chain,14K Gold,0,30,,30,Others,43.0,Regular,4.3
"Friday, February 22, 2019",Steel chain only,Chain,FJ,20,,127.2,127.2,Female,40.0,Regular,4.6
"Friday, February 22, 2019",Silver chain and charm letter z,Chain and Charm,Silver,25,159,,159,Female,47.0,Regular,3.6
"Friday, February 22, 2019",10k gold chain exchange,Chain,10k Gold,100,,159,159,Female,69.0,Regular,4.1
"Friday, February 22, 2019",Invicta men’s,Watch,Branded,135,286,,286,Female,18.0,Regular,4.5
"Friday, February 22, 2019",10k gold fronts pickup,Custom Fronts,Custom,0,300,,300,Male,44.0,Regular,4.0
"Friday, February 22, 2019",Invicta mens,Watch,Branded,69,,200.34,200.34,Male,18.0,Regular,4.1
"Friday, February 22, 2019",Gold box chain small,Chain,10k Gold,33,25,44.2,69.2,Male,53.0,Regular,4.1
"Friday, February 22, 2019",10k goldchain,Chain,10k Gold,71,120,,120,Male,22.0,Regular,4.2
"Friday, February 22, 2019",Silver charm,Charm,Silver,14,45,,45,Male,46.0,Rare,4.3
"Friday, February 22, 2019",FJ chain and charm(Royal Jewelar ),Chain and Charm,FJ,50,,190.8,190.8,Others,52.0,Rare,4.1
"Friday, February 22, 2019",Silver hoops pick up,Hoops,Silver,0,,120,120,Male,33.0,Regular,3.4
"Saturday, February 23, 2019",925 chain and charm,Chain and Charm,Silver,57,,180.2,180.2,Male,24.0,Occasional,4.6
"Saturday, February 23, 2019",st.st chain only,Chain,FJ,15,,97,97,Female,35.0,Regular,4.4
"Saturday, February 23, 2019",10k rope chain,Chain,10k Gold,57,,190,190,Others,44.0,Regular,3.6
"Saturday, February 23, 2019",Silver ring,Ring,Silver,19,201.4,,201.4,Female,36.0,Regular,3.3
"Saturday, February 23, 2019",steel ring only,Ring,FJ,10,79.5,,79.5,Female,58.0,Regular,3.6
"Saturday, February 23, 2019",St.St chain and charm,Chain and Charm,FJ,10,,84.79,84.79,Male,42.0,Regular,4.3
"Saturday, February 23, 2019",silver stud,Earring,Silver,8,,53,53,Female,40.0,Regular,4.1
"Saturday, February 23, 2019",silver stud,Earring,Silver,2,,26.5,26.5,Male,25.0,Regular,3.9
"Saturday, February 23, 2019",Silver chian and charm,Chain and Charm,Silver,18,,90,90,Male,26.0,Rare,4.6
"Saturday, February 23, 2019",ring exchange,Ring,Silver,4,30,,30,Female,54.0,Occasional,4.7
"Saturday, February 23, 2019",kids bangle,Bracelet,Silver,9,,41.34,41.34,Male,48.0,Rare,4.0
"Saturday, February 23, 2019",Repiars,Custom Repairs,Generic,0,10,,10,Male,27.0,Regular,4.2
"Saturday, February 23, 2019",silver earrring,Earring,Silver,2,31,,31,Male,49.0,Regular,4.3
"Saturday, February 23, 2019",St.St chain and charm,Chain and Charm,FJ,8,,80,80,Others,47.0,Regular,4.3
"Saturday, February 23, 2019",Ring pick up,Ring,Silver,0,112,,112,Male,68.0,Occasional,4.0
"Saturday, February 23, 2019",10k gold /diamond pendant layaway,Pendant,10k Gold,100,20,,20,Male,66.0,Regular,3.4
"Sunday, February 24, 2019",10k gold chian and charm,Chain and Charm,10k Gold,80,,235,235,Female,56.0,Regular,3.7
"Sunday, February 24, 2019",silver chain and charm,Chain and Charm,Silver,48,,180.2,180.2,Male,51.0,Occasional,4.4
"Sunday, February 24, 2019",st.st chain and charm,Chain and Charm,FJ,12,45,,45,Male,47.0,Regular,4.5
"Sunday, February 24, 2019",silver chain and charm,Chain and Charm,Silver,25,95.4,,95.4,Female,25.0,Regular,4.3
"Sunday, February 24, 2019",10k chain and charm on layaway,Chain and Charm,10k Gold,165,20,,20,Others,62.0,Occasional,4.2
"Sunday, February 24, 2019",silver charm,Charm,Silver,15,50,,50,Female,37.0,Regular,3.6
"Sunday, February 24, 2019",10k gold chain and charm,Chain and Charm,10k Gold,91,,180,180,Male,54.0,Occasional,3.7
"Sunday, February 24, 2019",10k gold hoops,Hoops,10k Gold,90,250,,250,Male,24.0,Occasional,4.5
"Sunday, February 24, 2019",tennis necklace,Chain,FJ,26,,106,106,Female,42.0,Regular,5.0
"Sunday, February 24, 2019",silver stud,Earring,Silver,4,,42.4,42.4,Female,37.0,Regular,3.3
"Sunday, February 24, 2019",repiars,Custom Repairs,Generic,0,5,,5,Male,37.0,Occasional,5.0
"Sunday, February 24, 2019",repiars,Custom Repairs,Generic,0,15,,15,Male,35.0,Regular,4.6
"Monday, February 25, 2019",Silver stud,Earring,Silver,5,,42.4,42.4,Female,52.0,Occasional,4.6
"Monday, February 25, 2019",silver stud,Earring,Silver,4,,52.99,52.99,Male,29.0,Regular,4.4
"Monday, February 25, 2019",10k rope chain,Chain,10k Gold,80,,190.8,190.8,Male,43.0,Rare,3.7
"Monday, February 25, 2019",Gold grillz 10k,Custom Fronts,Custom,108,,190.8,190.8,Female,37.0,Regular,3.7
"Tuesday, February 26, 2019",Fj band,Ring,FJ,5,,159,159,Male,33.0,Rare,3.4
"Tuesday, February 26, 2019",watch pick up,Watch,FJ,0,,33,33,Male,55.0,Occasional,4.1
